chords,path,melspectogram
c,./Guitar_Only/c/c101.wav,"[[-24.261114   -22.469131   -21.94396    ... -22.6627     -21.683044
  -15.721689  ]
 [-30.701077   -24.83927    -20.852861   ... -43.492798   -31.266117
  -13.621205  ]
 [  0.76162285   0.7475746    1.6043007  ... -36.774403   -29.932701
  -10.922489  ]
 ...
 [-33.500065   -37.88474    -39.860588   ... -50.179565   -50.179565
  -50.179565  ]
 [-33.585556   -38.73327    -42.45613    ... -50.179565   -50.179565
  -50.179565  ]
 [-32.37214    -38.250244   -48.19699    ... -50.179565   -50.179565
  -50.179565  ]]"
c,./Guitar_Only/c/c7.wav,"[[-41.640045 -32.103657 -31.946598 ... -37.075565 -37.517673 -34.66124 ]
 [-48.40354  -42.664875 -39.159744 ... -58.379154 -55.691025 -41.636677]
 [-43.12229  -33.90322  -31.24071  ... -48.428604 -45.746025 -38.81981 ]
 ...
 [-64.341995 -53.351807 -51.33003  ... -72.79792  -72.79792  -72.79792 ]
 [-68.1313   -59.657017 -57.787098 ... -72.79792  -72.79792  -72.79792 ]
 [-72.79792  -68.22953  -66.578926 ... -72.79792  -72.79792  -72.79792 ]]"
c,./Guitar_Only/c/c132.wav,"[[-21.589975  -21.356468  -20.752502  ... -21.931614  -23.51803
  -11.317548 ]
 [-21.767769  -17.989637  -20.444765  ... -36.474625  -29.019981
  -10.987991 ]
 [-18.698008   -2.4312687   6.0731983 ... -36.96927   -28.483261
   -8.346077 ]
 ...
 [-17.016842  -10.749291  -11.366553  ... -46.823555  -46.823555
  -46.823555 ]
 [-18.148323  -11.22218   -11.623978  ... -46.823555  -46.823555
  -46.823555 ]
 [-31.179924  -22.874943  -22.988873  ... -46.823555  -46.823555
  -46.823555 ]]"
c,./Guitar_Only/c/c172.wav,"[[-20.76375   -21.655474  -22.655888  ... -22.624647  -22.388958
  -21.938143 ]
 [-21.830616  -26.299072  -26.963676  ... -41.743298  -40.544533
  -31.53336  ]
 [ -6.0752034  -3.5400515  -2.4216602 ... -38.743195  -33.97748
  -25.25034  ]
 ...
 [-35.423492  -35.851902  -39.44873   ... -54.040276  -54.040276
  -52.56437  ]
 [-34.93854   -36.23489   -40.566277  ... -54.040276  -54.040276
  -54.040276 ]
 [-48.392986  -50.547287  -54.040276  ... -54.040276  -54.040276
  -54.040276 ]]"
c,./Guitar_Only/c/c158.wav,"[[  2.4403708  -3.798201  -22.237926  ... -22.082275  -22.723785
  -13.590201 ]
 [  4.606705   -1.3997281  -9.243378  ... -15.947466  -16.038853
   -9.847813 ]
 [  8.724074    6.2115097   4.894701  ...  -2.2437031  -2.3434396
   -1.1575141]
 ...
 [-26.428032  -29.95551   -30.269924  ... -53.060665  -55.03448
  -52.416306 ]
 [-27.723011  -32.274174  -27.18325   ... -57.31853   -57.54116
  -57.39178  ]
 [-29.096008  -35.060307  -39.54721   ... -57.54116   -57.54116
  -57.54116  ]]"
c,./Guitar_Only/c/c9.wav,"[[-34.600235 -34.520435 -35.89633  ... -38.27219  -37.781273 -35.84453 ]
 [-64.84862  -50.591106 -45.23948  ... -62.126026 -58.19235  -43.554214]
 [-54.852314 -37.95174  -28.052752 ... -57.81734  -56.35312  -45.583794]
 ...
 [-71.95743  -59.35189  -52.19464  ... -71.95743  -71.95743  -71.95743 ]
 [-71.95743  -69.61505  -58.982296 ... -71.95743  -71.95743  -71.95743 ]
 [-71.95743  -71.95743  -69.23467  ... -71.95743  -71.95743  -71.95743 ]]"
c,./Guitar_Only/c/c1.wav,"[[-49.7092   -51.002277 -46.72611  ... -37.386154 -39.38174  -34.81193 ]
 [-57.525436 -59.104248 -48.71142  ... -59.611477 -51.26043  -33.65024 ]
 [-60.713074 -53.495003 -39.988453 ... -48.82522  -47.28837  -32.762283]
 ...
 [-75.69495  -75.69495  -75.69495  ... -75.69495  -75.69495  -73.50894 ]
 [-75.69495  -75.69495  -75.69495  ... -75.69495  -75.69495  -75.69495 ]
 [-75.69495  -75.69495  -75.69495  ... -75.69495  -75.69495  -75.69495 ]]"
c,./Guitar_Only/c/c163.wav,"[[-11.636858  -17.348705  -22.477692  ... -22.603243  -22.608978
   -7.144479 ]
 [ -7.360118  -12.722324  -18.842056  ... -33.48697   -25.559975
   -7.2022867]
 [ -3.8612773  -5.308958   -3.4622087 ... -35.381317  -24.496126
   -6.1113033]
 ...
 [-26.656689  -20.594141  -18.94102   ... -54.246834  -55.33974
  -51.735046 ]
 [-29.511337  -26.402348  -25.047249  ... -56.4905    -56.4905
  -54.560806 ]
 [-36.645565  -35.911568  -34.35353   ... -56.4905    -56.4905
  -56.4905   ]]"
c,./Guitar_Only/c/c60.wav,"[[-33.247116 -33.437504 -33.235577 ... -32.469936 -32.462097 -32.599712]
 [-56.18063  -54.420807 -42.41527  ... -66.79244  -59.120197 -40.64096 ]
 [-46.201286 -45.61392  -29.439407 ... -70.08226  -55.567837 -38.11562 ]
 ...
 [-80.63895  -76.59545  -61.963924 ... -79.49116  -78.6193   -77.26633 ]
 [-79.411514 -77.215515 -64.39518  ... -82.95616  -82.95616  -82.95616 ]
 [-82.04216  -82.95616  -79.059326 ... -82.95616  -82.95616  -82.95616 ]]"
c,./Guitar_Only/c/c142.wav,"[[-23.266521 -21.517756 -22.572268 ... -22.083757 -22.408657 -21.45272 ]
 [-25.199818 -26.764954 -32.97088  ... -41.438927 -42.206825 -27.652428]
 [-13.193142  -9.302268 -10.396532 ... -40.122864 -37.225475 -31.33685 ]
 ...
 [-33.072575 -28.167923 -25.522108 ... -52.93476  -52.927277 -51.765015]
 [-41.884212 -36.89408  -35.69927  ... -56.39175  -57.346947 -54.94178 ]
 [-51.014534 -46.759857 -45.30949  ... -61.447998 -61.447998 -61.447998]]"
